Year;Month;Week;Weekday;Frigivelsesdato;Lager;Lagerområde;KO/DO;Hour;Afgangstid;Antal_linjer;Teoretisk_bemandning
2024;11;44;5;01-11-2024;Lager 1;1;Kundeordre;0;19:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;0;19:30:00;4;0,114285714
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;1;20:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;2;21:59:00;8;0,228571429
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;3;18:00:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;3;18:30:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;3;22:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;3;22:30:00;4;0,114285714
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;5;22:35:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;7;16:00:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;7;19:30:00;4;0,114285714
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;8;19:00:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;8;19:30:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;8;22:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;8;22:30:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;9;16:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;9;19:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;9;20:00:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;9;21:59:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;9;22:30:00;4;0,114285714
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;10;18:30:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;10;19:00:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;10;19:30:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;10;21:59:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;10;22:00:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;10;22:30:00;4;0,114285714
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;11;16:00:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;11;19:30:00;7;0,2
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;11;21:59:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;11;22:00:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;11;22:30:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;12;16:00:00;4;0,114285714
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;12;18:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;12;19:15:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;12;19:30:00;5;0,142857143
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;12;20:00:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;12;22:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;12;22:30:00;6;0,171428571
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;13;18:00:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;13;19:00:00;4;0,114285714
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;13;19:30:00;7;0,2
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;13;20:00:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;13;21:59:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;13;22:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;13;22:30:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;13;22:35:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;14;14:15:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;14;19:30:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;14;21:59:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;14;22:30:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;14;22:35:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;15;18:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;15;19:15:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;15;23:40:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;16;20:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;2;Kundeordre;16;22:30:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;0;19:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;0;19:15:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;0;19:30:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;2;21:59:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;3;14:00:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;3;19:30:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;3;22:00:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;3;22:30:00;4;0,114285714
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;4;14:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;4;23:40:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;7;19:30:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;7;22:30:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;9;14:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;9;18:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;9;19:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;9;22:30:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;10;19:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;10;19:30:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;10;22:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;10;22:30:00;5;0,142857143
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;11;19:30:00;8;0,228571429
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;11;20:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;11;22:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;11;22:30:00;4;0,114285714
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;11;22:35:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;12;19:30:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;12;20:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;12;22:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;12;22:30:00;6;0,171428571
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;12;22:35:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;13;19:00:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;13;19:30:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;13;22:30:00;5;0,142857143
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;14;18:05:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;14;22:30:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;15;20:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;15;22:30:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;16;19:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;16;22:30:00;5;0,142857143
2024;11;44;5;01-11-2024;Lager 1;3;Kundeordre;17;22:30:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;0;19:15:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;2;21:59:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;3;14:00:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;3;19:30:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;4;18:05:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;4;22:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;6;20:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;8;16:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;8;19:30:00;4;0,114285714
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;8;20:00:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;8;22:00:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;8;22:30:00;5;0,142857143
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;9;16:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;9;18:05:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;9;19:30:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;11;19:00:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;11;19:30:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;12;19:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;12;22:30:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;13;22:30:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;14;19:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;14;19:30:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;14;22:30:00;5;0,142857143
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;14;22:35:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;15;19:30:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;15;22:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;16;22:30:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;17;19:30:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;17;22:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;4;Kundeordre;17;22:30:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;0;19:00:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;0;19:30:00;8;0,228571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;1;20:00:00;7;0,2
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;3;18:00:00;5;0,142857143
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;3;18:05:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;3;18:30:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;3;19:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;3;19:15:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;3;22:00:00;6;0,171428571
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;3;22:30:00;12;0,342857143
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;3;22:35:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;4;19:15:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;4;19:30:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;4;22:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;4;23:40:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;4;23:55:00;5;0,142857143
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;6;18:05:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;6;19:30:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;6;20:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;6;22:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;6;22:30:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;7;14:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;7;16:00:00;4;0,114285714
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;7;19:15:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;7;19:30:00;4;0,114285714
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;7;20:00:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;7;22:30:00;5;0,142857143
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;7;23:40:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;8;18:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;8;19:00:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;8;19:15:00;4;0,114285714
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;8;19:30:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;8;22:00:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;8;22:30:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;9;16:00:00;5;0,142857143
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;9;18:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;9;19:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;9;19:30:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;9;20:00:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;9;22:30:00;6;0,171428571
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;10;16:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;10;18:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;10;18:05:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;10;19:00:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;10;19:15:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;10;19:30:00;6;0,171428571
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;10;20:00:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;10;22:00:00;4;0,114285714
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;10;22:30:00;5;0,142857143
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;11;14:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;11;16:00:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;11;18:30:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;11;19:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;11;19:15:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;11;19:30:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;11;20:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;11;22:00:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;11;22:30:00;11;0,314285714
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;11;22:35:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;11;23:40:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;12;14:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;12;18:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;12;18:30:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;12;19:00:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;12;19:30:00;10;0,285714286
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;12;20:00:00;4;0,114285714
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;12;21:59:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;12;22:00:00;7;0,2
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;12;22:30:00;19;0,542857143
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;12;22:35:00;4;0,114285714
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;13;19:00:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;13;19:30:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;13;22:00:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;13;22:30:00;25;0,714285714
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;13;22:35:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;13;23:40:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;14;18:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;14;18:30:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;14;19:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;14;19:15:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;14;19:30:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;14;20:00:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;14;22:00:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;14;22:30:00;14;0,4
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;14;22:35:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;15;18:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;15;19:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;15;19:30:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;15;22:30:00;11;0,314285714
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;15;23:55:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;16;18:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;16;19:30:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;16;22:30:00;4;0,114285714
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;17;19:30:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;17;20:00:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;17;22:30:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;5;Kundeordre;18;22:30:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;6;Kundeordre;0;19:30:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;6;Kundeordre;1;20:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;6;Kundeordre;3;19:15:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;6;Kundeordre;3;22:00:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;6;Kundeordre;3;22:30:00;13;0,371428571
2024;11;44;5;01-11-2024;Lager 1;6;Kundeordre;3;22:35:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;6;Kundeordre;4;19:15:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;6;Kundeordre;4;19:30:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;6;Kundeordre;4;22:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;6;Kundeordre;6;16:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;6;Kundeordre;8;22:30:00;3;0,085714286
2024;11;44;5;01-11-2024;Lager 1;6;Kundeordre;9;19:00:00;1;0,028571429
2024;11;44;5;01-11-2024;Lager 1;6;Kundeordre;9;19:30:00;2;0,057142857
2024;11;44;5;01-11-2024;Lager 1;6;Kundeordre;9;22:30:00;1;0,028571429
